,date,headline,story
21," Apr 18, 2018 "," Time Warner Ill-Equipped to Challenge Netflix, CEO Tells Judge "," that have left Time Warner struggling to keep up: technology allowing companies like Netflix and Amazon.com Inc. to stream movies and TV shows directly to consumers, and ad spending on Google and Facebook... "
22," Apr 14, 2018 ", Trump's Campaign Chief Pushes to Raise Amazon Shipping Rates ," Service’s finances, including its relationship with shippers like Amazon and the prices it charges them. The order didn’t mention Amazon, but it was interpreted as a first step toward turning the president’s... "
23," Apr 18, 2018 ", Five Things You Need to Know to Start Your Day ," is flooding into U.S. biotech.The latest on India’s cash crunch.Bitcoin miners are at risk of .Amazon has exceeded 100 million paid Prime subscribers, Jeff Bezos says.Japan's top finance ministry... "
24," Apr 17, 2018 ", Tech Stocks Outperform After Netflix Delivers Again for Bulls , surging after bulls got the strong earnings report they wanted from Netflix Inc.Alphabet Inc. and Amazon.com Inc. rose more than 3 percent on Tuesday after Netflix kicked off earnings season for megacap... 
25," Apr 12, 2018 ", How Amazon’s Relationship With the Post Office Really Works ," package it delivers for Amazon"" and said ""only fools, or worse"" believe the postal service makes money from doing business with Amazon.2. Does the Postal Service lose money on Amazon deliveries?The Postal... "
26," Apr 13, 2018 ", Olorunnipa on Trump’s Amazon Attack (Audio) ," Olorunnipa, Bloomberg News White House reporter, discusses President Donald Trump’s recent attack on Amazon. He speaks with Peter Barnes and Nathan Hager on ""Politcs Policy Power and Law."" Running time... "
27," Apr 13, 2018 ", Trump and the Post Office: Amazon Isn't the Problem , Trump wants to reform the U.S. Postal Service. Shall we welcome him to the club?QuickTake Q&A: Amazon and the Post OfficeLet’s put aside for a moment the real (and futile) purpose of Thursday’s executive... 
28," Apr 13, 2018 ", Oracle Is Leading Anti-Amazon Lobby on Pentagon Cloud Bid ," her company is competing with Amazon for the award, the people added.While it’s best-known for being the world’s largest online retailer, Amazon also operates Amazon Web Services, the market’s top... "
29," Apr 18, 2018 ", AT&T CEO Randall Stephenson Prepares for the Show of a Lifetime ," that can compete with peers like Comcast Corp. and fend off challengers such as Netflix Inc., Amazon.com Inc. and Alphabet Inc.’s Google. While the arrival of the Trump administration might have... "
30," Apr 18, 2018 ", Yankees-Tested Vegan Sausage Going National at Whole Foods ," position as a brand incubator has been called into question since the organic chain was acquired by Amazon.com Inc. The company is centralizing its operations, making it more difficult for some small... "
31," Apr 17, 2018 "," Bank Investors Keep Taking Profits, No Matter the Earnings Beat "," in Internet shares amid better-than-expected subscriptions. The FANG block of Facebook Inc., Amazon.com Inc., Netflix and Google climbed 4.3 percent Tuesday, the most since January. The Nasdaq... "
32," Apr 17, 2018 ", Tech Industry Signs Accord to Protect People From Cyberattacks ," Holdings Plc, Symantec Corp. and Cisco Systems Inc. Notably absent are Alphabet Inc., Apple Inc. and Amazon.com Inc.The Tech Accord also pledges to empower users, customers and developers to strengthen... "
33," Apr 17, 2018 "," Pentagon Sticks With Single Cloud Contract, Says Debate Over "," response alongside each entry.Rival contractors complain that the winner-take-all approach favors Amazon.com Inc., the biggest supplier of cloud services. But Pentagon officials made clear they have... "
34," Apr 13, 2018 ", Trump Orders Post Office Review After Attacks on Amazon , administration deliberations.Read more: How the Post Office Makes Amazon a Federal IssueAmazon declined to comment.Trump has claimed that Amazon was “costing the United States Post Office massive amounts... 
35," Apr 17, 2018 ", How the U.S. Ban Against ZTE Could Backfire ," Defense Department’s plan to find one provider, and that the process seemed designed to benefit Amazon’s AWS, which rivals some of Oracle’s services. Tesla’s Model 3 troubles persist. The electric... "
36," Apr 13, 2018 ", Third Avenue Betting Amazon Puts HQ2 in D.C. Area ,"                                         Bloomberg’s Vince Cignarella discusses lobbying for Amazon's HQ2. He speaks with Alix Steel and David Westin on ""Bloomberg Daybreak: Americas.""... "
37," Apr 12, 2018 ", One Way to Bet on the Location of Amazon’s HQ2 , There are 20 cities shortlisted by Amazon.com Inc. for its second North American headquarters -- and at least one real estate fund is trying to score a payday in the stock market if the e-commerce... 
38," Apr 16, 2018 ", Bloomberg View Radio: Weekend Edition for the Week of 4-13-18 ," Politics."" Barry Ritholtz, founder of Ritholtz Wealth Management and Bloomberg Prophet: ""Don’t Blame Amazon for the Retail Apocalypse."" Conor Sen, Portfolio Manager for New River Investments and a columnist... "
39," Apr 18, 2018 "," If You Needed Excuses to Sell Tech, You Got Them: Taking Stock "," night, tech investors finally have a real reason, besides the Facebook data scandal and Trump’s Amazon lashings, to pull the trigger on some profit taking -- not to mention that IBM and LRCX have... "
40," Apr 16, 2018 "," Bloomberg Baystate Business: Bank of America, Nift, Flooding "," local start-up Nift stopped by to explain how his company helps small businesses compete against Amazon. Former FBI Assistant Director, and Revere native, Bill Gavin talked about the new book by James... "
41," Apr 12, 2018 ", Consumer Guru Michael Loeb Has a Plan to Fight Amazon ," businesses at Loeb Enterprises, discusses the technology he's developing to help companies fight Amazon.com Inc., and Facebook Inc.'s data-privacy scandal. He speaks with Bloomberg's Erik Schatzker... "
42," Apr 12, 2018 ", Trump Orders Postal System Review After Amazon Barbs ," report with its recommendations. The order does not specifically mention online shopping giant Amazon. But Trump has been railing against the company and its owner Jeff Bezos, who also owns The Washington... "
43," Apr 17, 2018 ", Investing in Virtue Is Hard When So Few Companies Measure Up ," asked respondents which technology company they least trust with their personal information among Amazon, Apple, Facebook, Google, Lyft, Microsoft, Netflix, Tesla, Twitter, Snap and Uber, and 56 percent... "
44," Apr 16, 2018 ", Oracle Co-CEO Tells Trump Pentagon Cloud Plan Makes ‘No Sense’ ," with Trump earlier this month.Catz added that the procurement process seemed designed to benefit Amazon.com Inc.’s AWS, which rivals some of Oracle’s computing and storage products. ""I have no idea... "
45," Apr 16, 2018 ", States Want to Force Online Retailers to Collect Billions in Sales Tax ," item at both the local Macy’s department store or on Amazon, which sells the appliance out of its own stock for $39.95, plus $2.40 in tax.Amazon, which President Donald Trump accused of underpaying... "
46," Apr 17, 2018 ", Daniel Sundheim Is Planning to Raise $4 Billion Cap for New Hedge Fund ," operating officer. In naming D1, Sundheim borrowed a page from billionaire Jeff Bezos whose motto at Amazon.com Inc. is “It’s always day one.”D1, which may begin trading in the third or fourth quarter... "
47," Apr 16, 2018 "," Ritholtz's Reads: Ticker Love, Safe Havens and Valuations "," back (Washington Post)More Than Never. Less Than Always. (A Wealth of Common Sense)Sorry, But Amazon Isn’t Actually Annihilating Retail Jobs (Wired)Politico’s analysis suggests that Trump did, indeed... "
48," Apr 16, 2018 ", Facebook Answers Questions Zuckerberg Didn't in Testimony ," on their services,” Facebook wrote in the post. “Google has a popular analytics service. And Amazon, Google and Twitter all offer login features. These companies — and many others — also offer... "
49," Apr 13, 2018 "," In Age of Amazon, You Could Invest in Tech—or in Warehouses "," Forget your fancy office towers. The future lies in warehouses.But not just any old dusty depot. It’s got to be big enough, smart enough and close enough to consumers. Pick right and you could... "
50," Apr 17, 2018 "," As Toys R Us Fails, the Retail Real Estate Glut Is Getting Worse "," more in 2017.Photographer: Spencer Platt/Getty ImagesShopping space isn’t completely done for. Amazon.com Inc., blamed for the death of so many bookstores, has opened more than a dozen of its own... "
51," Apr 16, 2018 ", Toyota to Start Deploying Chips in Battle to Get Cars ‘Talking’ ," from the lobbying group for technology companies including Apple Inc., Google, Facebook Inc. and Amazon.com Inc., which favors sharing the airwaves.The primary cable industry trade group has said the... "
52," Apr 12, 2018 ", Amazon Doesn't Believe in Research and Development Spending ," previously worked at Amazon. After declaring near the beginning of it that ""Amazon does everything wrong, and Google does everything right,"" he proceeded to explain why Amazon -- despite its ""dirt-smeared... "
53," Apr 11, 2018 ", Walmart Wins Over Amazon In A Bid for Flipkart ," e-commerce company Flipkart is leaning towards selling a controlling stake to Walmart rather than Amazon, sources say #tictocnews https://bloom.bg/2GTrh1m... "
54," Apr 16, 2018 ", Stocks Rally as Investors Turn Focus to Earnings: Markets Wrap , a back seat. The benchmark got a boost from health-care supply companies after a report said Amazon Inc. shelved a plan to sell drugs. Netflix Inc. shares rose more than 5 percent in after-hours... 
55," Apr 13, 2018 ", Trump Orders Post Office Review ,"                                                                     Following his attacks on Amazon, Trump ordered a review of business practices at the United States Postal Service https://bloom... "
56," Apr 16, 2018 ", Earnings Season Is Set to Crush Volatility Once Again ," conflict in Syria, constitutional crisis in the U.S., and escalation of political backlash to Amazon and Facebook.""Implied volatility typically trades at a premium to realized volatility because... "
57," Apr 16, 2018 "," When a Work Emergency Strikes, This Tool Will Get You Out of Bed "," to a study from Rand Corp., a nonprofit research group.PagerDuty was inspired by a project at Amazon.com Inc. The online retailer was building tools to immediately alert employees when their code... "
58," Apr 13, 2018 ", This Tech Hedge Fund Made 10% Even as Stocks Tanked , percent in March after steering clear of a selloff in global tech giants such as Facebook Inc. and Amazon Inc.Sylebra Capital Management’s $1.1 billion fund profited from both bullish and bearish investments... 
59," Apr 12, 2018 ", Apple’s Stumbling HomePod Isn’t the Hot Seller It Wanted ," HomePod smart speaker went on sale in January, it entered a market pioneered and dominated by Amazon’s Echo lineup of Alexa-powered devices. Apple has been touting the HomePod’s superior sound quality... "
60," Apr 16, 2018 ", Here Are Some Ways Washington Could Rein In Facebook ," General Data Protection Regulation sets new standards for any holder of sensitive data, from Amazon to local government councils. They must post clear terms and conditions for users and get “unambiguous”... "
61," Apr 11, 2018 ", Walmart Favored Over Amazon to Buy India's Flipkart ," largest shareholder, may prefer a sale to Amazon in part because of its success in cracking open the e-commerce business, one of the people said. Amazon founder Jeff Bezos has committed $5.5 billion... "
62," Apr 12, 2018 ", Should Facebook Pay More in Taxes? IMF Wades Into Thorny Debate ," Monetary Fund is wading into a thorny debate over whether online giants such as Facebook Inc. and Amazon.com Inc. pay enough taxes.Some digital industries are prone to become monopolies, because the... "
63," Apr 13, 2018 ", Everything You Need to Know This Morning From Daybreak (Podcast) , earnings. Trump clarified his suggestion that he may be interested in the U.S. joining the TPP. Amazon may be in the president’s sights again. Host Richard Macauley discusses U.S. politics with Kathleen... 
64," Apr 10, 2018 ", Transcontinental Opens Door to Amazon With Coveris Takeover ," suppliers are in talks with Amazon about supplying food packaging for the e-commerce platform, which could provide a new revenue stream for Transcontinental, he said.“As Amazon increases its food offering... "
65," Apr 11, 2018 ", Bed Bath & Beyond Plunges After Posting Gloomy Annual Forecast ," after delivering a disappointing forecast, renewing fears about the chain adapting to the era of Amazon.com Inc.Earnings will be roughly $2 to $2.50 a share this year, the retailer said on Wednesday... "
66," Apr 9, 2018 "," Atlanta Mayor Keisha Lance Bottoms on Competing for Business, Amazon HQ "," discusses racial equality, affordability challenges, education, competing for business, and why Amazon should choose her city for its second headquarters. She speaks with David Westin on ""Bloomberg... "
67," Apr 13, 2018 ", Five Things You Need to Know to Start Your Day ," receive this post in your inbox every morning? Sign up hereTrade deals not war, Trump turns on Amazon’s “delivery boy’’ and it’s earnings season for banks. Here are some of the things people in markets... "
68," Apr 13, 2018 ", Ferro Out at Chicago Tribune Parent as Controversial Reign Ends ," Tribune reported.The sale marks the latest sale of a newspaper company to a deep-pocketed investor. Amazon.com Inc.’s Jeff Bezos bought the Washington Post in 2013, putting that paper safely in the hands... "
69," Apr 13, 2018 ", Comey's Memoir Plays Differently in Fractured Media Landscape ," copies of the book in advance of its formal release next week.Comey’s book is a bestseller on Amazon.com, so many people will read it for themselves. But many others will likely never read it at... "
70," Apr 12, 2018 ", Your Evening Briefing ," administrator, Congressional Democrats said.Apple’s HomePod smart speaker is apparently no match for Amazon’s Echo lineup of Alexa-powered devices. At first, it looked like it might be a hit, but then the... "
71," Apr 10, 2018 ", Walmart Expands Online Grocery Delivery in Deal With Postmates ," with Postmates Inc. to expand its online grocery-delivery service, part of a bid to fend off Amazon.com Inc.’s incursion into the supermarket business.The partnership began Tuesday in Charlotte... "
72," Apr 8, 2018 ", Summers Compares Trump's Amazon Attack to Italy Under Mussolini ," business from the rule of law to the “rule of deals” with ad-hoc attacks on Amazon and other companies.Trump has criticized Amazon in tweets during the past two weeks, accusing the online retail giant... "
73," Apr 9, 2018 ", Trump Is Wrong That Amazon Caused the U.S. Retail Apocalypse ," The U.S. president has repeatedly attacked one of the most successful American companies ever, Amazon.com Inc. Several times he has taken to Twitter to excoriate the giant online retailer, whose... "
74," Apr 12, 2018 "," Bubbles, Echo Chambers and Election Hacking ", (Macro Tourist); see also How Portfolios Should Get Through This Market Volatility (Bloomberg View)Amazon is not a bubble (Alphaville)A Newly Powerful Fund Manager (Whom You’ll Rarely Hear About) (Wall... 
75," Apr 12, 2018 ", SimpliSafe Hires Qatalyst to Evaluate Takeover Bid ," that the world’s biggest technology companies are pushing into: people’s homes. In February, Amazon.com Inc. agreed to buy Ring Inc., the home-security firm known for its connected doorbells. That... "
76," Apr 12, 2018 ", Video Game Tournaments on Your Phone Are Worth Real Money ," ”Microsoft Corp. and Amazon.com Inc. are experimenting with similar services. Microsoft recently bought PlayFab Inc., which helps developers make and publish games, and Amazon just launched GameOn... "
77," Apr 12, 2018 ", Uber's 2016 Breach Affected More Than 20 Million U.S. Users ," similar misconduct in the future.”In the 2016 breach, intruders in a data-storage service run by Amazon.com Inc. obtained unencrypted consumer personal information relating to U.S. riders and drivers... "
78," Apr 9, 2018 ", Bloomberg Baystate Business: Markets and the Mayor of Boston ," the better part of an hour with Marty Walsh, the Mayor of Boston.  We talked about the budget, Amazon, police body cameras and Seaport flooding, as well as a little bit of politics.  We also talked... "
79," Apr 11, 2018 ", Ex-Googler's E-Commerce Site Valued At About $15 Billion ," behind PDD is to give people a different experience than at traditional e-commerce sites like Amazon.com or Alibaba, where shoppers tend to plug in a keyword and then pick out an item after sorting... "
80," Apr 6, 2018 ", Amazon Is Considering Building Payments Into Alexa ,                   Shares of PayPal and Square dropped after the Wall Street Journal reported Amazon may introduce Alexa-enabled mobile payments #tictocnews... 
81," Apr 11, 2018 "," Bed, Bath & Beyond Slump Puts Its CEO on the Spot "," assortment, introducing design-consultation services and testing a membership program similar to Amazon Prime.The problem is, there's scant evidence any of it is working.On Wednesday afternoon, Bed... "
82," Apr 10, 2018 ", Walmart Is Getting Picky About Online Marketplace Sellers ," its marketplace -- unlike Amazon’s, which takes all comers, many of whom never end up selling a single product, Kaziukenas says. Close to 3,000 sellers join one of Amazon’s global marketplaces each... "
83," Apr 11, 2018 ", Spotify and Hulu Offer Joint Subscription to Lure More New Users ," including as many as 96 million paying subscribers, according to a March forecast. Technology giants Amazon.com Inc., Apple Inc. and Alphabet Inc. are all vying for a larger share of the music subscription... "
84," Apr 12, 2018 ", The Family Office World Grapples With Confronting Big Corporations ," aligning CEO compensation with long-term performance. It said it will continue to engage with Amazon.com Inc. on human capital management, particularly regarding working conditions at its distribution... "
85," Apr 12, 2018 ", Here’s How Washington Could Really Unfriend Facebook: QuickTake ," General Data Protection Regulation sets new standards for any holder of sensitive data, from Amazon to local government councils. They must post clear terms and conditions for users and get “unambiguous”... "
86," Apr 10, 2018 ", Congress Attempts to Overhaul How Tech Companies Pay Songwriters ," treatment for years. Spotify Technology SA, Apple Inc., Alphabet Inc., Pandora Media Inc. and Amazon.com Inc. would create a database of songs and support a trio of judges who would determine songwriter... "
87," Apr 11, 2018 ", Asos Falls as U.K. Online Fashion Retailer Plans More Spending ,"  as e-commerce competition from the likes of Boohoo.com Plc, Yoox Net-A-Porter Group SpA and Amazon.com Inc. increases. Asos said it will focus spending on distribution and logistics operations... "
88," Apr 6, 2018 ", Thousands of Mail Carriers Have Amazon to Thank for Their Jobs ," Whether the U.S. Postal Service’s relationship with Amazon Inc. is as unprofitable as President Donald Trump thinks it is, there’s one group that -- judging from government jobs data -- has undoubtedly... "
89," Apr 10, 2018 ", Morgan Stanley Says Data Drive to Push Next Tech Growth Wave ," monetize a computing platform with software and services are well-positioned for growth, such as Amazon and Microsoft -- and increasingly IBM and Alibaba.Here’s a list of the 15 stocks Morgan Stanley... "
90," Apr 10, 2018 ", Morgan Stanley Says Data Drive to Push Next Tech Growth Wave ," monetize a computing platform with software and services are well-positioned for growth, such as Amazon and Microsoft -- and increasingly IBM and Alibaba.Here’s a list of the 15 stocks Morgan Stanley... "
91," Apr 6, 2018 ", Mnuchin Says Trump Isn’t Targeting Amazon Over Bezos’s Washington Post ," Mnuchin said Donald Trump’s attacks on Amazon.com Inc. have nothing to do with critical coverage of the White House by the Washington Post, owned by Amazon chief executive Jeff Bezos.Mnuchin also... "
92," Apr 10, 2018 ", Spotify Is Planning a New Version of Its Free Music Service ," year, and as many as 96 million subscribers, according to a March forecast. Technology giants Amazon.com Inc., Apple Inc. and Alphabet Inc. are all vying for a larger share of the music subscription... "
93," Apr 6, 2018 ", Apple Hires Former Amazon Devices CTO for Software Role , was an executive in Google’s Advanced Technology and Products group. He spent several years at Amazon.com Inc. as chief technology officer of the devices group and a vice president of software for... 
94," Apr 11, 2018 "," Apple Is the Richest Company, So Where Are the Billionaires? "," Bloomberg Billionaires Index, which tracks the wealth of the world’s 500 richest people.They include Amazon.com Inc.’s Jeff Bezos, Alphabet Inc.’s Sergey Brin, Larry Page and Eric Schmidt, Microsoft Corp... "
95," Apr 5, 2018 ", Amazon Makes Hiring Push In Riyadh , Amazon is adding several jobs in Saudi Arabia's capital following Jeff Bezos's meeting with the crown... 
96," Apr 5, 2018 ", Trump Says He’ll Take ‘Very Serious Look’ at Amazon’s Business , President Donald Trump said he will take a “very serious look” at Amazon.com Inc. and what he said is an “uneven playing field” the retailer enjoys against competitors.“I’m going to study it and... 
97," Apr 10, 2018 "," Signatures, Winemakers and Portable Alpha ", Tour Hasn’t Fixed Facebook (Wired)The Free-Trade Malaise (Literary Review of Canada)Don’t Blame Amazon for the Retail Apocalypse (Bloomberg View) but see Reports of Retail’s Death Are Premature (Bloomberg... 
98," Apr 6, 2018 ", Turning Amazon’s Cloud Into a Hot Trade ," favorite topic: the cloud, or more precisely, how on-demand computing provided by the likes of Amazon.com Inc. has become a burgeoning market in its own right.Sachin Duggal | This story appears in... "
99," Apr 10, 2018 ", This Suitcase Is Designed to Follow You Like a Puppy ," sale in November.Next StepsMi Ecosystem says it’s negotiating to distribute the Puppy 1 through Amazon.com Inc. and Best Buy Co. Wu, meanwhile, says he’s working on a larger suitcase and a backpack... "
100," Apr 10, 2018 ", Harvard Poll of Young Voters Shows Democratic Energy for Midterms , shows.The survey of adults ages 18 to 29 also reveals younger Americans have greater trust in Amazon and Google than Facebook and Twitter. Those findings come as Facebook Inc. Chief Executive Officer... 
101," Apr 11, 2018 ", Rare Coalition Bands Together to Fight Trump Tariffs ," spokesman for the Information Technology Industry Council, which represents companies including Amazon, Google, Facebook and IBM.The coalition sent a joint letter to Trump on March 18 opposing the... "
102," Apr 11, 2018 ", How Portfolios Should Get Through This Market Volatility ," Facebook) are potentially more affected than those believed to be indirect suppliers (such as Amazon and Netflix).With an increasing number of sectors being disrupted -- specifically, by the accelerating... "
103," Apr 9, 2018 ", ‘Fear The Regulator’ Has Been a Winning Strategy for FAANG Traders ," Inc. and Baidu Inc. to that of the remaining members of the much-followed index, Apple Inc., Amazon.com Inc., Tesla Inc., NVIDIA Corp. and Alibaba Group Holding Ltd. The first group may someday... "
104," Apr 5, 2018 ", Oracle's CEO Criticizes Amazon in Contract Row ," dinner with Trump, Oracle's co-CEO Safra Catz reportedly criticized a Pentagon contract that Amazon may win #ticotcnews https://bloom.bg/2EnO2Z3... "
105," Apr 11, 2018 ", Are Drug Prices Too Low? ," complete, said earlier this year that makers of generics need to think about using companies such as Amazon.com, FedEx, or United Parcel Service to get drugs directly to consumers. But that’s a long way... "
106," Apr 5, 2018 ", Amazon Makes Hiring Push in Riyadh After Saudi Prince’s Visit , met with Amazon’s chief executive officer in Seattle last week. The 32-year-old heir apparent to the throne had planned to discuss a potential project with the Ministry of Energy for Amazon to build... 
107," Apr 10, 2018 ", FX Hedge Funds Trampled by Bad Volatility in Dreadful Start to 2018 ," percent in 2016. Even amid the tumult kicked up by U.S. President Donald Trump’s criticism of Amazon.com and escalating trade tensions with China, currencies have broadly remained calm.“I don’t... "
108," Apr 5, 2018 ", Amazon's Technology and Content Spending a Huge Gift to Economy ," who appears to spend more on R&D than any other corporation on the planet? Why, Amazon.com Inc., of course!Amazon passed Volkswagen AG in late 2016 to become the world's biggest corporate R&D spender... "
109," Apr 9, 2018 ", Tech Takedowns and Going Full MAGA ," My back-to-work morning train reads:Amazon and 16 other companies Trump has attacked since his election (CNN Money)One Reason for Optimism: Bearish Investors (Wall Street Journal)Come easy, go... "
110," Apr 10, 2018 ", Telecom Giants Fear Missing the Money as Cars Go Online ," to mobile devices, only to be stuck collecting relatively small service fees while Google and Amazon built lucrative online empires. Now that a surge of American cars are getting their own internet... "
111," Apr 4, 2018 ", Oracle's Safra Catz Raises Amazon Contract Fight With Trump ," private dinner with President Donald Trump on Tuesday, complaining that it seemed designed for Amazon.com Inc. to win, according to people familiar with the matter, Bloomberg News reports.Trump heard... "
112," Apr 4, 2018 "," Amid Trump Spat, Amazon Favored for Pentagon Contract (Audio) "," select for a multibillion-dollar cloud computing deal. Despite a public feud with President Trump, Amazon is still favored to win the contract, drawing some complaints from industry rivals. He speaks... "
113," Apr 4, 2018 ", Are the White House Knives Out for Amazon? ," Source: Bloomberg, 01:47Bloomberg Gadfly’s Alex Webb discusses President Donald Trump’s comments on Amazon. He speaks with Mark Barton on ""Bloomberg Surveillance."" (Webb is a Bloomberg Gadfly columnist... "
114," Apr 3, 2018 ", Trump vs. Amazon ,                                                               Trump continues to take aim at Amazon. Here's why the e-commerce giant is in the president's crosshairs https://bloom.bg/2GukFGx #tictocnews... 
115," Apr 9, 2018 ", U.S. Retail Is Alive and Well Despite the Apocalyptic Reports ," Ellis, has been outperforming the broader market for the last year. Despite the reporting about Amazon laying waste to the sector, major department stores such as Macy’s and Kohl’s have been outperforming... "
116," Apr 3, 2018 ", Trump vs. Amazon ,                                                               Trump continues to take aim at Amazon. Here's why the e-commerce giant is in the president's crosshairs https://bloom.bg/2GukFGx #tictocnews... 
117," Apr 3, 2018 ", Trump vs. Amazon ,                                                               Trump continues to take aim at Amazon. Here's why the e-commerce giant is in the president's crosshairs https://bloom.bg/2GukFGx #tictocnews... 
118," Apr 4, 2018 ", Pentagon to Respond on Cloud Contract Rivals Say Favors Amazon ," Seattle-based Amazon, making unsupported claims that the online retailer is “costing the United States Post Office massive amounts of money for being their Delivery Boy” and referring to the “Amazon Washington... "
119," Apr 4, 2018 ", D.A. Davidson's Forte Sees Washington Post as 'Real' Reason for Trump's Amazon Attacks ," Research Analyst and Managing Director, Tom Forte, gives his take on President Trump's tweets toward Amazon.  He speaks with Emily Chang on ""Bloomberg Technology.""... "
120," Apr 5, 2018 ", JPMorgan Becoming The Amazon Of Finance As Its Reach Grows: Son ," Bloomberg Markets AM with Pimm Fox and Lisa Abramowicz. GUEST: Hugh Son, Bloomberg finance reporter, on the Wall Street battle between man and machine, and highlights from Jamie Dimon’s letter... "
